[2026/02/16  3:40:02.39] Starting... 
[INFO] Waiting for server... (36/60
[INFO] Waiting for server... (35/60
[OK] Node.js found 
[OK] Changed to C:\Users\user\dev\study-visualizer\scripts\.. 
[INFO] Starting dev server... 
▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:4000
- Network:       http://172.19.80.1:4000
- Environments: .env.local

✓ Starting...
✓ Ready in 1063ms
 GET / 200 in 72ms (compile: 5ms, render: 67ms)
 GET / 200 in 74ms (compile: 18ms, render: 56ms)
 GET / 200 in 39ms (compile: 7ms, render: 32ms)
 GET / 200 in 78ms (compile: 3ms, render: 75ms)
 GET / 200 in 82ms (compile: 35ms, render: 47ms)
 GET / 200 in 74ms (compile: 5ms, render: 68ms)
 GET / 200 in 76ms (compile: 21ms, render: 55ms)
 GET / 200 in 67ms (compile: 3ms, render: 64ms)
 GET / 200 in 70ms (compile: 32ms, render: 38ms)
 GET / 200 in 70ms (compile: 5ms, render: 65ms)
 GET / 200 in 72ms (compile: 19ms, render: 53ms)
 GET / 200 in 88ms (compile: 4ms, render: 85ms)
 GET / 200 in 92ms (compile: 44ms, render: 48ms)
 GET / 200 in 88ms (compile: 5ms, render: 83ms)
 GET / 200 in 92ms (compile: 21ms, render: 71ms)
 GET / 200 in 55ms (compile: 3ms, render: 52ms)
 GET / 200 in 52ms (compile: 4ms, render: 48ms)
 GET / 200 in 73ms (compile: 7ms, render: 66ms)
 GET / 200 in 75ms (compile: 23ms, render: 52ms)
 GET / 200 in 55ms (compile: 3ms, render: 52ms)
 GET / 200 in 69ms (compile: 6ms, render: 63ms)
 GET / 200 in 70ms (compile: 21ms, render: 50ms)
 GET / 200 in 43ms (compile: 7ms, render: 36ms)
 GET / 200 in 40ms (compile: 4ms, render: 36ms)
 GET / 200 in 38ms (compile: 5ms, render: 33ms)
 GET / 200 in 70ms (compile: 5ms, render: 65ms)
 GET / 200 in 72ms (compile: 18ms, render: 54ms)
 GET / 200 in 69ms (compile: 3ms, render: 66ms)
 GET / 200 in 108ms (compile: 33ms, render: 75ms)
 GET / 200 in 79ms (compile: 6ms, render: 73ms)
 GET / 200 in 81ms (compile: 20ms, render: 60ms)
 GET / 200 in 71ms (compile: 3ms, render: 68ms)
 GET / 200 in 77ms (compile: 32ms, render: 45ms)
 GET / 200 in 77ms (compile: 6ms, render: 71ms)
 GET / 200 in 79ms (compile: 21ms, render: 58ms)
 GET / 200 in 81ms (compile: 3ms, render: 78ms)
 GET / 200 in 85ms (compile: 36ms, render: 50ms)
 GET / 200 in 87ms (compile: 6ms, render: 81ms)
 GET / 200 in 90ms (compile: 21ms, render: 69ms)
 GET / 200 in 37ms (compile: 3ms, render: 34ms)
 GET / 200 in 103ms (compile: 5ms, render: 98ms)
 GET / 200 in 105ms (compile: 18ms, render: 87ms)
 GET / 200 in 78ms (compile: 32ms, render: 45ms)
 GET / 200 in 69ms (compile: 3ms, render: 66ms)
 GET / 200 in 102ms (compile: 30ms, render: 72ms)
 GET / 200 in 71ms (compile: 7ms, render: 64ms)
 GET / 200 in 73ms (compile: 21ms, render: 52ms)
 GET / 200 in 70ms (compile: 3ms, render: 68ms)
 GET / 200 in 108ms (compile: 31ms, render: 77ms)
 GET / 200 in 82ms (compile: 6ms, render: 76ms)
 GET / 200 in 84ms (compile: 22ms, render: 62ms)
 GET / 200 in 35ms (compile: 2ms, render: 33ms)
 GET / 200 in 38ms (compile: 5ms, render: 34ms)
 GET / 200 in 79ms (compile: 5ms, render: 74ms)
 GET / 200 in 81ms (compile: 19ms, render: 63ms)
 GET / 200 in 38ms (compile: 3ms, render: 36ms)
 POST /api/generate 200 in 28.9s (compile: 165ms, render: 28.7s)
 GET / 200 in 101ms (compile: 3ms, render: 98ms)
 GET / 200 in 105ms (compile: 31ms, render: 74ms)
 GET / 200 in 107ms (compile: 46ms, render: 62ms)
